State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
,198,684,false,false,30,45.0,52,75.37,364.3,2,86.2,257.1,119,49.16,7.5,0,1.52,3,true
,40,546,true,false,38,144.6,75,91.08,422.2,7,98.13,75.5,90,24.22,8.1,11,7.48,3,false
,125,141,false,true,18,463.6,44,45.71,364.1,12,51.81,259.4,16,26.2,4.0,19,1.73,7,false
,110,427,false,false,38,103.4,61,49.09,444.0,47,6.47,79.3,195,83.27,11.6,2,4.3,4,false
,59,544,false,false,19,290.7,13,12.69,9.6,135,86.91,478.4,187,66.08,7.9,20,6.48,9,true
,60,834,false,false,46,71.0,175,82.7,354.0,179,59.73,461.6,6,21.21,5.1,9,7.46,3,true
,67,142,true,false,25,50.3,106,37.4,228.5,69,32.84,360.6,69,55.09,14.4,16,6.52,6,true
,195,604,true,false,19,201.6,56,21.09,205.3,37,4.78,335.8,121,10.02,13.4,19,2.3,4,true
,191,458,false,true,36,17.2,174,4.21,284.2,165,96.05,91.6,89,2.89,14.8,7,9.9,1,true
,22,71,true,false,11,129.3,114,28.71,416.9,67,32.07,109.7,57,92.57,8.2,1,4.68,4,true
,27,808,false,false,2,284.0,35,73.8,470.4,129,49.44,107.3,90,98.04,4.5,3,6.99,8,true
,181,523,true,false,28,345.4,87,14.1,380.8,175,99.53,370.1,44,19.34,9.6,6,9.66,8,false
,146,442,false,false,6,383.0,3,74.13,56.2,106,80.76,38.2,152,69.93,6.5,9,9.16,2,false
,102,712,true,true,33,360.6,108,39.11,300.7,29,84.92,290.8,91,19.12,16.7,18,6.17,1,true
,158,803,false,true,13,58.7,180,69.85,347.0,181,30.55,378.0,146,72.1,18.2,9,5.64,0,true
18,53,230,true,true,7,409.0,81,99.19,484.9,198,83.5,305.4,11,90.82,9.7,18,6.83,1,false
,29,665,false,true,38,132.0,12,61.44,64.7,180,41.1,52.4,174,82.34,14.5,10,2.64,5,false
