State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
FL,88,722,true,true,28,1.4,92,50.27,425.4,162,97.49,140.7,102,4.09,7.8,8,9.99,6,true
TX,177,635,false,false,48,342.8,167,48.25,415.6,75,77.35,288.9,14,1.8,8.7,3,9.27,2,true
IN,7,366,true,false,11,199.8,55,46.01,30.5,153,43.77,441.3,197,22.77,8.9,3,8.36,3,false
VA,179,794,true,true,37,236.2,96,2.22,64.0,7,63.39,411.9,170,27.19,5.5,19,7.27,6,true
DC,98,949,true,true,44,435.1,190,11.14,469.0,124,64.57,423.5,60,61.56,0.6,7,7.27,3,true
AL,37,155,true,true,21,161.2,31,52.58,326.1,25,66.87,423.6,163,25.01,11.0,0,8.99,5,false
CO,199,514,false,true,21,394.7,80,18.67,190.1,123,88.09,341.2,151,86.3,12.4,5,1.66,4,true
TN,106,61,true,true,24,167.4,191,95.59,159.9,156,77.04,67.9,60,85.61,16.4,2,9.16,2,false
FL,56,883,true,false,23,391.5,87,8.05,374.8,71,75.79,78.7,74,9.21,17.3,0,4.74,7,false
FL,65,464,false,false,23,203.6,72,38.41,165.8,196,13.35,31.7,137,42.94,10.6,5,9.4,9,false
GA,106,142,false,false,48,409.1,193,99.92,298.9,96,77.23,280.4,64,75.1,2.3,4,9.83,0,true
TX,95,418,false,true,9,140.8,169,91.6,472.3,76,76.79,283.2,128,3.23,8.1,17,5.92,4,false
CA,40,544,true,true,32,286.0,58,27.24,405.8,29,84.02,426.5,21,13.71,6.6,18,2.03,7,false
OK,1,713,true,true,9,318.0,80,32.74,364.4,160,37.18,2.7,18,61.2,8.8,19,1.93,5,false
CA,47,621,true,true,0,257.7,94,33.5,229.8,20,23.19,472.6,118,15.62,7.7,15,0.8,6,true
IN,127,302,true,true,36,217.3,175,61.39,432.4,162,8.72,80.1,158,83.14,2.3,13,9.91,1,true
FL,187,374,false,false,15,382.7,86,51.84,340.5,84,18.35,8.2,135,52.37,9.2,5,4.37,10,false
CA,9,563,true,true,24,36.1,34,40.65,458.0,14,16.38,23.9,1,2.32,17.1,16,6.78,4,true
NY,38,622,false,false,49,406.5,119,35.97,258.2,174,42.89,493.2,188,89.69,19.7,9,7.62,5,true
TX,36,652,false,true,47,259.1,109,41.93,289.1,161,20.71,309.8,2,76.23,11.0,14,3.15,4,true
IN,183,383,false,true,48,51.6,30,27.28,147.8,88,79.46,394.1,128,53.28,17.9,9,1.94,8,true
NC,85,36,false,true,39,358.8,80,85.54,394.7,132,4.1,128.0,141,27.19,17.4,15,4.04,2,true
NY,149,183,true,true,38,164.4,154,83.07,147.1,119,20.05,487.2,22,2.89,0.8,9,9.24,0,true
AL,13,615,false,true,16,327.3,98,95.95,490.4,171,8.82,121.8,163,48.92,7.6,8,5.14,8,false
FL,97,756,true,true,5,104.5,88,96.73,189.0,118,68.85,453.9,64,97.28,17.4,5,3.88,3,false
CA,26,551,true,false,24,49.6,171,62.25,56.1,106,21.27,145.1,142,2.32,9.4,9,4.52,4,true
FL,98,528,true,true,4,376.7,175,2.46,118.4,23,21.87,17.8,198,97.49,11.6,12,9.15,10,true
CO,163,267,true,true,38,400.4,58,30.07,420.0,17,18.18,167.7,132,67.24,10.2,13,4.95,2,true
TX,160,816,true,false,50,394.4,173,2.8,263.2,14,34.13,121.3,158,83.29,12.9,6,5.72,8,true
TX,51,290,false,true,12,290.2,43,17.29,190.2,164,38.28,453.7,143,52.23,2.0,13,4.98,10,true
OR,146,285,true,true,13,200.8,128,29.65,412.3,43,68.38,289.7,92,91.82,5.1,19,8.11,0,false
MI,41,833,true,false,50,117.0,2,55.47,73.6,97,88.57,453.1,199,13.1,19.3,5,4.52,3,true
DC,24,974,true,true,11,266.5,43,36.14,404.9,140,6.36,240.1,173,84.73,5.5,1,0.38,6,false
FL,196,364,true,true,40,186.1,97,26.52,124.8,97,15.57,227.0,45,83.56,17.7,14,6.0,1,true
CA,34,782,true,true,4,274.7,40,52.18,209.0,75,2.37,39.3,105,68.84,14.3,4,6.07,9,true
TX,186,703,false,false,46,60.2,191,7.69,83.9,175,87.49,268.5,115,68.77,0.1,17,3.4,5,false
CA,149,734,true,true,40,69.4,37,82.55,112.5,2,3.31,465.9,43,61.34,11.3,14,7.14,1,true
NC,106,537,false,true,3,495.3,100,67.67,358.9,94,73.19,14.1,14,8.42,2.5,17,1.63,4,true
CA,44,153,true,false,49,104.0,196,45.31,192.0,22,39.39,191.9,62,52.51,1.3,5,5.25,9,true
MD,143,342,false,false,15,324.8,152,43.39,309.0,53,58.79,484.4,90,82.13,8.4,14,7.55,9,false
GA,84,918,false,true,28,224.3,141,60.93,497.9,64,93.2,433.0,184,73.69,9.0,3,7.17,3,false
CT,176,914,true,true,44,98.4,109,11.11,27.6,179,2.62,269.4,72,79.16,18.5,2,8.61,4,true
NC,108,378,true,false,40,469.2,138,74.68,475.2,97,26.39,463.7,13,29.98,16.9,15,0.77,9,false
SC,180,10,false,true,28,94.2,43,39.7,262.9,125,35.03,22.0,82,4.02,9.2,0,9.08,4,false
IL,164,635,false,false,15,230.7,149,38.37,360.5,112,83.99,45.3,126,0.41,12.4,0,0.28,0,true
NY,44,251,false,true,31,266.1,6,49.76,237.9,93,44.19,84.2,153,52.23,15.9,13,6.19,8,false
MO,194,998,true,true,45,330.7,18,76.62,202.3,137,4.29,320.9,101,39.98,6.2,5,8.71,6,false
FL,40,892,true,true,38,257.6,50,2.77,270.2,180,13.75,119.0,74,37.97,5.9,8,0.05,10,true
TX,164,612,true,true,9,42.8,159,3.13,388.3,41,1.94,460.5,100,91.53,13.1,14,4.74,10,true
NE,188,203,false,true,6,154.0,78,34.52,359.6,186,29.02,158.0,168,35.9,6.6,5,4.17,0,false
NY,92,224,true,true,20,474.3,75,4.43,441.8,122,59.02,125.9,89,7.1,8.6,4,7.85,6,false
GA,80,120,true,true,28,160.0,83,57.01,258.0,47,98.65,312.0,200,18.17,1.9,12,9.14,10,true
SC,132,639,true,true,34,324.3,98,38.47,222.3,1,61.69,133.9,67,75.93,6.2,5,6.16,2,false
NY,2,717,false,true,24,488.5,183,14.3,370.6,52,82.94,187.6,89,7.3,2.6,11,1.35,3,true
NC,174,590,true,false,6,139.0,14,46.87,453.4,146,19.94,163.5,187,64.56,8.6,18,3.32,9,false
TX,112,654,false,false,38,172.2,35,61.66,28.3,17,20.39,496.7,32,10.58,17.1,10,9.24,10,false
VA,120,982,false,true,39,154.2,21,56.62,483.9,56,10.36,38.7,107,96.16,9.0,9,1.69,6,true
FL,164,605,false,false,7,265.0,189,58.93,382.8,31,30.23,325.5,130,71.76,5.0,4,1.47,2,true
FL,68,244,true,false,11,247.6,52,78.74,137.5,42,69.49,217.4,172,96.33,12.6,20,5.9,10,false
TN,144,657,false,true,25,107.1,114,95.24,396.3,196,1.87,173.7,128,30.75,4.9,16,0.65,8,false
NC,98,505,false,false,5,20.7,155,7.39,305.0,101,3.41,337.4,166,37.71,6.6,0,1.29,7,false
SC,15,663,true,false,32,209.6,42,56.24,81.8,173,20.73,478.5,78,44.88,12.3,20,7.15,8,true
IN,120,629,true,false,24,225.5,46,56.33,383.0,122,57.16,302.7,182,95.17,8.3,10,0.26,7,true
VA,21,227,true,false,33,491.9,78,99.95,312.4,133,61.82,297.0,159,76.99,15.2,7,6.48,2,true
FL,10,268,false,false,13,100.7,86,7.49,486.5,176,64.65,41.1,138,99.93,17.1,5,0.26,8,false
TX,137,7,false,true,42,211.7,141,9.49,384.7,99,32.24,7.6,32,30.72,2.4,8,7.99,6,false
NC,0,478,false,false,24,58.7,121,8.33,409.1,173,54.07,494.9,130,28.17,5.5,8,3.44,0,true
TX,50,501,true,false,35,342.5,153,87.61,325.3,5,7.71,496.3,17,30.39,19.5,9,4.9,8,false
MI,136,509,false,true,44,200.1,193,4.36,406.1,184,24.94,169.6,43,57.26,13.0,13,0.2,10,false
FL,118,143,false,true,45,272.3,172,78.16,332.0,56,65.13,140.6,46,81.08,11.5,3,8.48,2,true
OH,16,50,true,true,21,414.6,183,50.13,257.9,14,25.73,258.5,89,7.71,13.2,16,7.83,0,false
CA,38,259,false,true,38,338.5,162,68.25,215.1,145,51.0,281.2,36,92.4,5.5,6,0.48,6,true
VA,23,702,true,true,26,269.2,187,41.01,190.8,101,37.22,480.7,169,49.65,5.7,8,1.35,1,false
NC,140,961,true,true,40,251.3,35,22.32,476.7,199,58.17,62.8,115,59.99,18.7,10,8.95,8,true
